,MouseID,Genotype,Treatment,Behavior,DYRK1A_N,ITSN1_N,BDNF_N,NR1_N,NR2A_N,pAKT_N,pBRAF_N,pCAMKII_N,pCREB_N,pELK_N,pERK_N,pJNK_N,PKCA_N,pMEK_N,pNR1_N,pNR2A_N,pNR2B_N,pPKCAB_N,pRSK_N,AKT_N,BRAF_N,CAMKII_N,CREB_N,ELK_N,ERK_N,GSK3B_N,JNK_N,MEK_N,TRKA_N,RSK_N,APP_N,Bcatenin_N,SOD1_N,MTOR_N,P38_N,pMTOR_N
11,309_11,Control,Memantine,C/S,0.366511251,0.513277924,0.327792418,2.072572471,3.66105818,0.229474965,0.193796878,1.724508413,0.185282789,1.31867018,0.461179809,0.290289884,0.3794851,0.271234543,0.765659842,0.449422258,1.297993108,1.756132171,0.509831745,0.547536996,0.346036894,0.362659639,0.196229475,0.891952159,2.171903507,1.231096696,0.266166633,0.262720454,0.635313197,0.169673627,0.418812082,1.957834989,0.34684776,0.428137036,0.352118386,0.693087371
12,309_12,Control,Memantine,C/S,0.364153907,0.499411072,0.355123675,2.006870828,3.466627405,0.216332941,0.204358068,1.672555948,0.190223793,1.166077739,0.447192776,0.27718885,0.361405575,0.26442874,0.743031017,0.443855516,1.250098155,1.690812721,0.492343934,0.549862583,0.323125245,0.344719278,0.197879859,0.862583431,2.108755399,1.20691009,0.243423636,0.281311347,0.615822536,0.160581076,0.368080094,1.887711033,0.333922261,0.408912446,0.33451119,0.666274048
13,309_13,Control,Memantine,C/S,0.364873351,0.482101737,0.312539251,1.946200544,3.349591794,0.230898053,0.188821436,1.508687461,0.171027842,1.353359849,0.471844254,0.272137325,0.340590329,0.256018422,0.723047938,0.417416789,1.226711325,1.737701486,0.461168097,0.494871258,0.384969646,0.339543647,0.199288256,0.869583421,1.925685577,1.149047519,0.273812016,0.256018422,0.612727653,0.16474775,0.366338706,1.749214988,0.322378062,0.426418254,0.37366548,0.690391459
14,309_14,Control,Memantine,C/S,0.381910612,0.485914001,0.31095107,1.958907011,3.349290405,0.225799619,0.188519381,1.50900233,0.179834781,1.219656852,0.463249312,0.284261809,0.36030502,0.262868036,0.755348443,0.41897903,1.197203982,1.686083457,0.485066723,0.524465156,0.343359458,0.347172209,0.214573184,0.814022453,1.956576996,1.137894514,0.239779708,0.25672527,0.579114594,0.164371955,0.367295065,1.770599449,0.339970345,0.427028172,0.370684177,0.68904893
15,309_15,Control,Memantine,C/S,0.37440953,0.46231259,0.344629287,1.861162456,3.287122612,0.22181146,0.185459026,1.444239063,0.176422263,1.123023208,0.426987061,0.266173752,0.325734237,0.279523516,0.695830766,0.410556582,1.158143356,1.655781475,0.465393305,0.510166359,0.351817622,0.359416718,0.18402136,0.789484494,1.885192031,1.125898542,0.230642842,0.242349558,0.557403984,0.158348737,0.356541384,1.710002054,0.326966523,0.387348532,0.358595194,0.657013761
16,311_1,Control,Memantine,C/S,0.743117916,0.862652731,0.377741793,2.735757397,6.067569557,0.219049021,0.185337848,2.277491535,0.19446489,2.379508317,1.081554541,0.355365818,0.383630208,0.29942588,0.956131312,0.790961284,1.897836008,1.711026056,0.387163256,0.856469895,0.537612248,0.386132784,0.175621964,1.491240983,4.112615928,1.463712645,0.272044752,0.28764905,0.790078021,0.168555866,0.421610481,2.620197262,0.387163256,0.517297218,0.373767113,0.872368615
17,311_2,Control,Memantine,C/S,0.711479945,0.807053942,0.351590595,2.546887967,5.595573997,0.199170124,0.165975104,2.118810512,0.174688797,2.050484094,1.07593361,0.331950207,0.346196404,0.250207469,0.894467497,0.727524205,1.753803596,1.525172891,0.367496542,0.810511757,0.555325035,0.357399723,0.163070539,1.348547718,3.69253112,1.393914246,0.246473029,0.259197787,0.741355463,0.158644537,0.389626556,2.422959889,0.362102351,0.480359613,0.361410788,0.818118949
18,311_3,Control,Memantine,C/S,0.704633205,0.802537231,0.350110314,2.467733039,5.548400441,0.20532267,0.165057915,2.10728075,0.171400993,1.938913403,1.065637066,0.326668505,0.342112521,0.243243243,0.894373966,0.742553778,1.757170436,1.521097628,0.388306674,0.812327634,0.528130171,0.362520684,0.165609487,1.345421953,3.684914506,1.378240485,0.24310535,0.275096525,0.739520132,0.15471594,0.393546608,2.415471594,0.35314396,0.491174848,0.348731384,0.831081081
19,311_4,Control,Memantine,C/S,0.677359194,0.770234987,0.356396867,2.563222678,4.975195822,0.228086535,0.186497576,2.259045132,0.190973517,2.167847818,0.977620291,0.358261843,0.3769116,0.264826557,0.895188363,0.730511003,1.711115256,1.654792988,0.406564715,0.784222305,0.520701231,0.403767251,0.18537859,1.289444237,3.514546811,1.3461395,0.274897426,0.283289817,0.726594554,0.171391272,0.416822081,2.328422231,0.398358821,0.520887728,0.404513241,0.876725103
20,311_5,Control,Memantine,C/S,0.591572123,0.678768233,0.312479741,2.164181524,4.313938412,0.195786062,0.161102107,1.975688817,0.16191248,1.768719611,0.838573744,0.306320908,0.323824959,0.230145867,0.768557536,0.613614263,1.469692058,1.333063209,0.388006483,0.672447326,0.487682334,0.338897893,0.158184765,1.070340357,2.944894652,1.179578606,0.229659643,0.239222042,0.634035656,0.150567261,0.364343598,2.00713128,0.327066451,0.44165316,0.349918963,0.764829822
21,311_6,Control,Memantine,C/S,0.618517229,0.716672468,0.319700661,2.285938044,4.571179951,0.206926558,0.171597633,2.127044901,0.174556213,1.767316394,0.871388792,0.324399582,0.337278107,0.248868778,0.831360947,0.667942917,1.563696485,1.403411069,0.403237034,0.717020536,0.504524887,0.378698225,0.173512008,1.123564219,3.127567003,1.251827358,0.234075879,0.255482074,0.686042464,0.156978768,0.382004873,2.112077967,0.36407936,0.482944657,0.37086669,0.831534981
22,311_7,Control,Memantine,C/S,0.702608291,0.69958081,0.387750349,2.437587331,4.449231486,0.258500233,0.197019096,2.091057289,0.182114578,2.171401956,0.886353051,0.343269679,0.388448999,0.321145785,0.900791803,0.692594318,1.655798789,1.671169073,0.421052632,0.772706102,0.492081975,0.397997205,0.197019096,1.136003726,3.235211924,1.267582673,0.274336283,0.266884024,0.684909176,0.187936656,0.424778761,2.078947368,0.4035864,0.556823475,0.435491383,0.909874243
23,311_8,Control,Memantine,C/S,0.598868778,0.690271493,0.349773756,2.308371041,4.229411765,0.221493213,0.187104072,2.045475113,0.176696833,1.922171946,0.850452489,0.34638009,0.369457014,0.27918552,0.85,0.654751131,1.580316742,1.516289593,0.417647059,0.743438914,0.473076923,0.37760181,0.184162896,1.112217195,3.119004525,1.261312217,0.263348416,0.264253394,0.669230769,0.181900452,0.411085973,2.043438914,0.381447964,0.530769231,0.4260181,0.883936652
24,311_9,Control,Memantine,C/S,0.561866554,0.641891892,0.308488176,2.157728041,4.020692568,0.216427365,0.173775338,1.940878378,0.168074324,1.728040541,0.822212838,0.317356419,0.327702703,0.236908784,0.794552365,0.615498311,1.475717905,1.347339527,0.404349662,0.685388514,0.39379223,0.353885135,0.166173986,1.020481419,2.804265203,1.17504223,0.226351351,0.244721284,0.620777027,0.16722973,0.378378378,1.910261824,0.357896959,0.505489865,0.383445946,0.836993243
25,311_10,Control,Memantine,C/S,0.55097021,0.561355562,0.320852692,2.19786827,3.558895873,0.237769882,0.194588685,1.783820716,0.178190763,1.831374693,0.711943154,0.334244329,0.356654824,0.269199235,0.822629134,0.614648811,1.424706204,1.393823449,0.394643345,0.660836294,0.469527193,0.375512435,0.192948893,0.953812517,2.594698005,1.094014758,0.26591965,0.258540585,0.607816343,0.179557256,0.376878929,1.766329598,0.399836021,0.573927303,0.478272752,0.891773709
26,311_11,Control,Memantine,C/S,0.538412899,0.701865318,0.384445147,2.482137212,4.109705975,0.288017705,0.223205817,2.082832754,0.202023396,1.96522289,0.839076826,0.402782169,0.416376857,0.346506481,0.934555801,0.699019918,1.640847297,1.531773633,0.472020234,0.742333228,0.498261144,0.426177679,0.241226684,1.091368954,2.87006007,1.314890926,0.296553905,0.306670882,0.69459374,0.21877964,0.46095479,2.034144799,0.447992412,0.651596586,0.559595321,1.035093266
27,311_12,Control,Memantine,C/S,0.521126761,0.583045442,0.304278501,2.053414829,3.381344672,0.251660909,0.189476482,1.800956683,0.178049429,1.51767207,0.733988839,0.317565772,0.327664098,0.292319957,0.774647887,0.588094605,1.352112676,1.216848259,0.404996014,0.609619984,0.445920808,0.365399947,0.193994154,0.910975286,2.401541323,1.117193728,0.243954292,0.247408982,0.592080787,0.183630082,0.395163433,1.705022588,0.386925326,0.552218974,0.458942333,0.854371512
28,311_13,Control,Memantine,C/S,0.488372093,0.540085679,0.29130967,1.913402693,2.873623011,0.215422277,0.210526316,1.414932681,0.1624847,1.689412485,0.685740514,0.301407589,0.309669523,0.243268054,0.732864137,0.551713586,1.222766218,1.260097919,0.366585067,0.593329253,0.430232558,0.335985312,0.188188494,0.806915545,2.119339045,0.971848225,0.237760098,0.238066095,0.488984088,0.177172583,0.365361077,1.421052632,0.382802938,0.564565483,0.456854345,0.82619339
29,311_14,Control,Memantine,C/S,0.514854614,0.564791403,0.316055626,1.957016435,2.978824273,0.250632111,0.175094817,1.487357775,0.162136536,1.678571429,0.686156764,0.300252845,0.32806574,0.268015171,0.76517067,0.555941846,1.261694058,1.213021492,0.445006321,0.616940582,0.40676359,0.345448799,0.191845765,0.829646018,2.104930468,0.961125158,0.236409608,0.248735777,0.513274336,0.187737042,0.389380531,1.512958281,0.408343869,0.586599241,0.509797724,0.882743363
30,311_15,Control,Memantine,C/S,0.485099846,0.556374808,0.287250384,1.892165899,2.847004608,0.223041475,0.177572965,1.462365591,0.169892473,1.537941628,0.695852535,0.280798771,0.301382488,0.292473118,0.727803379,0.532411674,1.205529954,1.125960061,0.4,0.568970814,0.421198157,0.349308756,0.19109063,0.824884793,2.044239631,0.976036866,0.224270353,0.238095238,0.492165899,0.185560676,0.366513057,1.421198157,0.361290323,0.566513057,0.488479263,0.871889401
31,320_1,Control,Memantine,C/S,0.627581675,0.954187007,0.446958318,2.930717236,5.915039429,0.197897109,0.185598949,1.765114532,0.232256853,1.808111153,1.022812617,0.348666917,0.348291401,0.245963199,1.083176868,1.008636876,2.128989861,1.603736388,0.361903868,1.028539241,0.534547503,0.400675929,0.175835524,2.40781074,4.643822756,1.533420954,0.271216673,0.322474653,0.887626737,0.16804356,0.442921517,2.747559144,0.358148704,0.537645513,0.383589936,0.799380398
32,320_2,Control,Memantine,C/S,0.651253323,0.962020509,0.464963919,2.992688948,5.975028485,0.202810482,0.188473224,1.807823775,0.259020129,1.960691227,1.053551082,0.353873908,0.36270414,0.260634258,1.122293961,1.04101785,2.196448918,1.854728447,0.365742499,1.042821876,0.550037979,0.414830991,0.180972275,2.4738891,4.892802886,1.563330801,0.27535131,0.332985188,0.892423092,0.172901633,0.46268515,2.801842005,0.395366502,0.561716673,0.394511964,0.823205469
33,320_3,Control,Memantine,C/S,0.64434594,0.9671791,0.470055645,3.073847024,5.927379044,0.205130623,0.182589833,1.783551825,0.258794681,2.147882675,1.025841743,0.361690088,0.368386306,0.259549184,1.135150429,1.056587758,2.238517401,1.956427426,0.379420919,1.05856833,0.555031595,0.410921437,0.191738187,2.578232576,4.804017731,1.579741583,0.283127417,0.340375365,0.892200321,0.17089503,0.459964161,2.856078468,0.383853626,0.573139677,0.402338961,0.867207394
34,320_4,Control,Memantine,C/S,0.568229103,0.812018113,0.393464692,2.606780076,5.808101824,0.218210745,0.17990454,2.312324073,0.209154326,1.733692327,0.906988129,0.337290417,0.335699425,0.250642516,0.959980419,0.86219557,1.949822543,1.661240974,0.374128014,0.939909436,0.493452454,0.405947864,0.175376331,1.748133643,4.039652429,1.473626239,0.267531514,0.292497858,0.810794272,0.165830376,0.406926937,2.418431037,0.342430547,0.521478399,0.392852772,0.76135112
35,320_5,Control,Memantine,C/S,0.587038433,0.863727707,0.411203215,2.757975383,6.006656619,0.223687516,0.189399648,2.375282592,0.218538056,1.843255463,0.917357448,0.34853052,0.354684753,0.270283848,1.006154233,0.897261994,1.998116051,1.861592565,0.378171314,0.979276564,0.502260739,0.416101482,0.182115046,1.801306204,4.089927154,1.53089676,0.275558905,0.308590806,0.831826174,0.173700075,0.422381311,2.564556644,0.360085406,0.560035167,0.40919367,0.792514444
36,320_6,Control,Memantine,C/S,0.595904096,0.861763237,0.421203796,2.831168831,6.368256743,0.233016983,0.187687313,2.406218781,0.221028971,1.991008991,0.917832168,0.359515485,0.365384615,0.268856144,1.049575425,0.933316683,2.035589411,1.983516484,0.401848152,1.000874126,0.501373626,0.424325674,0.203046953,1.891233766,4.313186813,1.537337662,0.281593407,0.321303696,0.84015984,0.171328671,0.43031968,2.576048951,0.366883117,0.573801199,0.417457542,0.85964036
37,320_7,Control,Memantine,C/S,0.522917915,0.721090473,0.363541043,2.456261234,5.191731576,0.229179149,0.186638706,2.481426004,0.190832834,1.641252247,0.799880168,0.326992211,0.325344518,0.253894548,0.876123427,0.752846016,1.760934691,1.594967046,0.366087478,0.84182145,0.4691432,0.396494907,0.174206111,1.436339125,3.44877172,1.38241462,0.258388256,0.284451768,0.763930497,0.164619533,0.393499101,2.225134811,0.340023966,0.512432594,0.408777711,0.763031756
38,320_8,Control,Memantine,C/S,0.530854674,0.748071583,0.385529158,2.573125579,5.495063252,0.23742672,0.187596421,2.549676026,0.200401111,1.714594261,0.819962974,0.363776612,0.344800987,0.26349892,0.923788954,0.802992903,1.850663376,1.849892009,0.388151805,0.892780006,0.45880901,0.414841098,0.185128047,1.495217525,3.623264425,1.438136378,0.271058315,0.301758716,0.795124961,0.166615242,0.415303919,2.366244986,0.350200555,0.551835853,0.423943227,0.78771984
39,320_9,Control,Memantine,C/S,0.534999224,0.773863107,0.39158777,2.667701381,5.987583424,0.246624243,0.184541363,2.6034456,0.195405867,1.874126959,0.839670961,0.345336024,0.361011951,0.276579233,0.978891821,0.842309483,1.91292876,1.995498991,0.409591805,0.916188111,0.466552848,0.424336489,0.220549433,1.576129132,3.737544622,1.458016452,0.285115629,0.321434115,0.806922241,0.17305603,0.413161571,2.387552382,0.375756635,0.578922862,0.444358218,0.849914636
40,320_10,Control,Memantine,C/S,0.519443385,0.736370568,0.370568052,2.503049943,4.947197865,0.266488753,0.205299276,2.749142204,0.208921083,1.712161647,0.787266489,0.347693481,0.344452917,0.284216546,0.893823866,0.759054518,1.821768967,1.685093404,0.399161266,0.845215402,0.474266108,0.430232558,0.193671369,1.40773923,3.439954251,1.437094929,0.288600839,0.309569196,0.78879146,0.190240183,0.417460923,2.191574533,0.356080823,0.550133435,0.461303851,0.815287838
41,320_11,Control,Memantine,C/S,0.508589768,0.735699453,0.38436851,2.545403058,5.101000566,0.257126675,0.201057202,2.746837833,0.20841986,1.77119124,0.781952048,0.352086086,0.3518973,0.287710025,0.919388333,0.77024731,1.8274495,1.856333774,0.406456485,0.883518973,0.468378327,0.443458561,0.198602983,1.392486313,3.480460638,1.436284689,0.286766094,0.295827827,0.792712856,0.184821597,0.425901454,2.240513498,0.39116481,0.570889183,0.457428733,0.828204644
42,320_12,Control,Memantine,C/S,0.516537517,0.737478737,0.383670384,2.624645625,5.601209601,0.259119259,0.183897184,2.758079758,0.208278208,1.864108864,0.795879796,0.360990361,0.371763372,0.298998299,0.96012096,0.812133812,1.857871858,1.997731998,0.428841429,0.88962389,0.467775468,0.443772444,0.207144207,1.443961444,3.433566434,1.435267435,0.295785296,0.307125307,0.801927802,0.183519184,0.425817426,2.207900208,0.3997354,0.593649594,0.475146475,0.856170856
43,320_13,Control,Memantine,C/S,0.454421149,0.685278031,0.36030082,2.392889699,4.5,0.278714676,0.208751139,2.586144029,0.220601641,1.61189608,0.731084777,0.353463993,0.347082954,0.283272562,0.871467639,0.710118505,1.718322698,1.623518687,0.402233364,0.80515041,0.458523245,0.443710119,0.198040109,1.486326345,3.151321787,1.403372835,0.276891522,0.295578851,0.770054695,0.197356427,0.384229717,2.076800365,0.353691887,0.529854148,0.434366454,0.817228806
44,320_14,Control,Memantine,C/S,0.471745596,0.697323267,0.371539693,2.472660718,4.652024708,0.278197209,0.215511325,2.592541752,0.244566461,1.758178906,0.760466712,0.356897735,0.360558225,0.308396248,0.896133608,0.741020361,1.765042324,1.767787692,0.41615191,0.842598948,0.468085106,0.483413407,0.215282544,1.269274765,3.212765957,1.406085564,0.289407458,0.306566003,0.784717456,0.196064974,0.382292382,2.132692748,0.373369938,0.590711508,0.455730954,0.858156028
45,320_15,Control,Memantine,C/S,0.481272563,0.684115523,0.360785199,2.538808664,5.008122744,0.287229242,0.22450361,2.576940433,0.199232852,1.799187726,0.756543321,0.368907942,0.365072202,0.310243682,0.92599278,0.753610108,1.757220217,1.915388087,0.440884477,0.861687726,0.471344765,0.457355596,0.21683213,1.272111913,3.138086643,1.397563177,0.287454874,0.324458484,0.793095668,0.189305054,0.420126354,2.082581227,0.379738267,0.588898917,0.472924188,0.88898917
46,321_1,Control,Memantine,C/S,0.560614372,0.763027976,0.40296215,2.933516182,6.31727921,0.192320351,0.167635765,1.892484915,0.198354361,1.730444323,0.832473944,0.333296764,0.324300603,0.24509051,1.051563357,0.864399342,2.129456939,1.586725178,0.348765771,0.948546352,0.398793198,0.382446517,0.160394953,2.046077894,4.324520022,1.450246846,0.256609984,0.281952825,0.869994515,0.151727921,0.414810752,2.662314866,0.337356007,0.509599561,0.391771805,0.794624246
47,321_2,Control,Memantine,C/S,0.516108108,0.749621622,0.401297297,2.919243243,6.306810811,0.192540541,0.16227027,1.854378378,0.205081081,1.746594595,0.843351351,0.332648649,0.324864865,0.238810811,1.074594595,0.887351351,2.107783784,1.745405405,0.351243243,0.950810811,0.396756757,0.393297297,0.161513514,2.045189189,4.279783784,1.430162162,0.25372973,0.284216216,0.882810811,0.148756757,0.41372973,2.665513514,0.337621622,0.516540541,0.391243243,0.800216216
48,321_3,Control,Memantine,C/S,0.507321275,0.77002584,0.417958656,2.92581826,6.766149871,0.201012059,0.177756245,1.832041344,0.210594315,1.869186047,0.832687339,0.338608958,0.336024978,0.253122308,1.115094746,0.91042205,2.102067183,1.940245478,0.375107666,0.981696813,0.403423773,0.3916882,0.170865633,2.099698536,4.314922481,1.460594315,0.257536606,0.295327304,0.892657192,0.15040913,0.42118863,2.683677864,0.351851852,0.547911283,0.404069767,0.829888028
49,321_4,Control,Memantine,C/S,0.505092786,0.695549044,0.376029022,2.915585322,5.917957304,0.22673364,0.174270964,2.663038928,0.190037673,1.535091391,0.719966513,0.327054556,0.32928701,0.255616018,1.015766709,0.796846658,2.0113018,1.601646435,0.398214037,0.858099623,0.37449421,0.402120832,0.16422492,1.682712432,3.815403935,1.419143296,0.266499233,0.282544998,0.829496302,0.163666806,0.408120553,2.538161016,0.329426538,0.520022325,0.410353007,0.798102414
50,321_5,Control,Memantine,C/S,0.479120267,0.689170379,0.381124722,2.913557906,6.066536748,0.22188196,0.16717706,2.652561247,0.198496659,1.664949889,0.729955457,0.334214922,0.33672049,0.260996659,1.043847439,0.820016704,2.051503341,1.730094655,0.372355234,0.886553452,0.384326281,0.40701559,0.173719376,1.666341871,3.929426503,1.423023385,0.2655902,0.278953229,0.845072383,0.153814031,0.415089087,2.542455457,0.339643653,0.528396437,0.424276169,0.806514477
51,321_6,Control,Memantine,C/S,0.457992362,0.703491544,0.385842881,2.904391708,6.318466994,0.21685761,0.160665576,2.652073104,0.197081288,1.8101473,0.711811238,0.334969995,0.343426077,0.262956901,1.058237861,0.834833606,2.032051282,1.868248773,0.393889798,0.89893617,0.371658483,0.40248227,0.180714675,1.721767594,3.858701582,1.417075832,0.267321331,0.288052373,0.856110202,0.153436989,0.413120567,2.539416258,0.348199673,0.539689034,0.424031642,0.831696672
52,321_7,Control,Memantine,C/S,0.420541987,0.62295082,0.342756775,2.635162262,5.307962529,0.228839077,0.174305788,2.724322516,0.183506189,1.43643359,0.643860823,0.322515892,0.316159251,0.256774841,0.94061559,0.694546671,1.835061894,1.485279358,0.383907661,0.800434928,0.351789896,0.398962864,0.177484108,1.385413182,3.269488123,1.307795249,0.254934761,0.266142523,0.789227166,0.159417866,0.382234861,2.254934761,0.319839411,0.495817999,0.385747742,0.777350284
53,321_8,Control,Memantine,C/S,0.437456926,0.6404204,0.357512061,2.731909028,5.468986906,0.232253618,0.171088904,2.77911785,0.19314266,1.550999311,0.630427292,0.332012405,0.339076499,0.266884907,0.995864921,0.742074431,1.91540317,1.662129566,0.403687112,0.835802895,0.371640248,0.422294969,0.185561682,1.422639559,3.38800827,1.372157133,0.267229497,0.303928325,0.818573398,0.178669883,0.408511371,2.324603722,0.339593384,0.528945555,0.437801516,0.814093728
54,321_9,Control,Memantine,C/S,0.403742414,0.640761969,0.361935266,2.732636548,5.787255563,0.243256912,0.165037087,2.754551585,0.1908294,1.694032367,0.630310182,0.358900877,0.343391773,0.280681052,1.01146325,0.771915037,1.922960216,1.805461902,0.411496966,0.847774781,0.360923803,0.435603506,0.195718139,1.48128793,3.46072151,1.334962913,0.262643291,0.280681052,0.824679703,0.163182738,0.4045853,2.322993931,0.340357384,0.53927849,0.444032367,0.838334457
55,321_10,Control,Memantine,C/S,0.383423181,0.58378257,0.324573226,2.467654987,4.320530099,0.250449236,0.204402516,2.618598383,0.206199461,1.343216532,0.619721473,0.325696316,0.311769991,0.272012579,0.905211141,0.676774483,1.663072776,1.335804133,0.404537287,0.751347709,0.388814016,0.437556155,0.188230009,1.242587601,2.919811321,1.26819407,0.279649596,0.276055705,0.782120395,0.189577718,0.426100629,2.037511231,0.347484277,0.5024708,0.39442947,0.784591195
56,321_11,Control,Memantine,C/S,0.38264963,0.596951356,0.338937458,2.488231338,4.260928043,0.251288949,0.207800941,2.672046626,0.204662632,1.30307106,0.599193006,0.327953374,0.317193454,0.272360457,0.889262497,0.674288276,1.696704775,1.355973997,0.413584398,0.736830307,0.38623627,0.418516028,0.196144362,1.207576777,2.955615333,1.260479713,0.279309572,0.282223717,0.778749159,0.201524322,0.404841964,2.059403721,0.343196593,0.513113652,0.398565344,0.779197489
57,321_12,Control,Memantine,C/S,0.396305256,0.577083792,0.334286343,2.485155047,4.482296019,0.248955355,0.182757862,2.64438091,0.196613152,1.300417858,0.585880801,0.316692325,0.329228062,0.270288102,0.882779855,0.680888498,1.683967451,1.342643501,0.396745107,0.736089729,0.372113481,0.421376732,0.193534198,1.206509787,2.937101386,1.288102045,0.270508027,0.283923466,0.762920607,0.172201452,0.372773257,1.991422916,0.337585221,0.501869364,0.424895536,0.773477018
